"Termino","Area","Descripcion_Termino"
"""Funnel de ventas""","""Comercial""","""También conocido como el embudo de conversión o el embudo de ventas, es un término de Marketing Digital que engloba el proceso y los distintos pasos que un contacto digital da dentro de la web hasta cumplir un objetivo, en este caso, concretar una venta."""
"""Social adds""","""Comercial""","""Publicidad en redes sociales"""
"""Tasa de conversión""","""Comercial""","""Tasa porcentual de clientes potenciales (leads) que pasan de un estado a otro, como, por ejemplo, la tasa de conversión de cotizaciones online a cotizaciones en punto de ventas, la tasa de conversión de cotizantes en salas de ventas que pasaron a reservar una unidad y finalmente, la tasa de conversión de personas con reserva a personas que efectivamente promesaron una unidad."""
"""Tasa de apertura""","""Comercial""","""Tasa porcentual de personas que abren un email, respecto de los emails enviados que se enviaron."""
"""Tasa de rebote""","""Comercial""","""Tasa porcentual de las personas que entran a la web o hacen click a alguno de los anuncios y de forma inmediata se retiran (rebotan), respecto del total de personas que entran a la web o hacen click en alguno de los anuncios."""
"""Retargeting""","""Comercial""","""Técnica de marketing digital cuyo objetivo es impactar a los usuarios que previamente han interactuado con una determinada marca. La finalidad del retargeting es recordar a los usuarios interesados en nuestros productos que estamos ahí y que tenemos una oferta interesante que ofrecerles"""
"""Remarketing""","""Comercial""","""Hacer marketing nuevamente para la misma persona. La intención es generar impacto más de una vez sobre alguien que ya demostró interés en el producto."""
"""Cliente referido""","""Comercial""","""Corresponde al cliente que ha comprado una unidad motivado por la recomendación de otro cliente."""
"""Journey Builder""","""Comercial""","""Herramienta de salesforce que permite un flujo de comunicación automatizada o no automatizada con el potencial cliente."""
"""Leads""","""Comercial""","""Corresponde a un cliente potencial que demostró interés en alguna unidad. Los leads provienen de la cotización web o de las herramientas de ""Facebook leads"". """
"""Flujo de cotizantes""","""Comercial""","""Corresponde a la cantidad de cotizantes que tienes en una cantidad de tiempo."""
"""Tráfico web""","""Comercial""","""Corresponde a todo el alcance, visitas y visualizaciones del sitio web. En otras palabras, se refiere al número de accesos que un contenido recibe en Internet. El modo como las personas acceden y generan tráfico para un determinado sitio puede variar."""
"""Google Addwords""","""Comercial""","""Corresponde a un servicio de publicidad que ofrece Google, el cual consiste en comprar un listado de palabras que tengan relación con el negocio, de modo que cada vez que éstas sean buscadas por los usuarios en los buscadores web, aparezca el sitio web de la empresa en forma de anuncio al inicio de las listas de resultados. Este servicio de Google sirve para generar mayor tráfico al sitio web, captar nuevos clientes, así como obtener mayor alcance."""
"""Comunity manager""","""Comercial""",""" Persona responsable de construir y administrar la comunidad online y gestionar la identidad y la imagen de marca, creando y manteniendo relaciones estables y duraderas con sus clientes."""
"""Always on (AO)""","""Comercial""","""Hace referencia a las campañas de marketing que están activas de forma constante para responder a la demanda de un producto o servicio."""
"""Nutrición de leads (Lead nurturing)""","""Comercial""","""Proceso deliberado de atraer a un grupo objetivo ofreciéndole información relevante en cada una de las fases del recorrido del comprador, con el fin de posicionar a la empresa como la apuesta más segura para ayudarlos a alcanzar sus objetivos."""
"""Marketing orgánico""","""Comercial""","""Es una estrategia que genera tráfico a la empresa a lo largo del tiempo en lugar de utilizar métodos de pago. Esto incluye publicaciones de blogs, estudios de casos, publicaciones de invitados, tuits no pagados y actualizaciones de Facebook. El marketing orgánico utiliza el SEO, redes sociales y una variedad de otros canales para aumentar el conocimiento de la marca."""
"""Servicio al cliente (SAC)""","""Comercial""","""Es el área que se encarga de entregar respuesta a las consultas, problemas y sugerencias que los clientes tienen acerca de la marca."""
"""Folleto (Brochure)""","""Comercial""","""Es una herramienta de marketing que hace referencia a la documentación impresa o digital que tiene como objetivo representar a una determinada compañía para informar sobre su organización, productos o servicios. En el caso de Empresas Socovesa, para representar un proyecto inmobiliario determinado."""
"""Cliente incógnito (mystery shopper)""","""Comercial""","""Un mystery shopper, comprador misterioso o cliente incógnito es una persona anónima, encargada y enviada por una empresa para comprobar la calidad y el buen funcionamiento de sus servicios comerciales (vendedores, asesores, etc.) o de información (servicio postventa, por ejemplo)."""
"""Clusterización""","""Comercial""","""Es la categorización de la información del consumidor para generar segmentaciones relevantes para la campaña. Son grupos de personas con características similares."""
"""Datos de cotizantes (sitio web)""","""Comercial""","""Corresponde al conjunto de datos que identifican y permiten establecer una comunicación con el cotizante, y es obtenida a través del sitio web de la marca. Estos datos son los siguientes: nombre completo, correo electrónico, RUT y teléfono."""
"""Datos del referido (sitio web)""","""Comercial""","""Corresponde al conjunto de datos que identifican y permiten establecer una comunicación con el cotizante referido por otro cliente, y es obtenida a través del sitio web de la marca. Estos datos son los siguientes: nombre, apellido, correo electrónico, RUT y teléfono."""
"""Datos de cotizantes (Enlace inmobiliario)""","""Comercial""","""Corresponde al conjunto de datos que identifican y permiten establecer una comunicación con el cotizante, y es obtenida a través del portal inmobiliario ""Enlace inmobiliario"". Estos datos son los siguientes: nombre cliente, apellido cliente, RUT, correo electrónico y teléfono."""
"""Datos del cotizantes (Portal Inmobiliario)""","""Comercial""","""Corresponde al conjunto de datos que identifican y permiten establecer una comunicación con el cotizante, y es obtenida a través del portal inmobiliario ""Portal inmobiliario"". Estos datos son los siguientes: nombre y apellido cliente, RUT, correo electrónico y teléfono."""
"""Datos de cotizantes (leads de Meta)""","""Comercial""","""Corresponde al conjunto de datos que identifican y permiten establecer una comunicación con el cotizante, y es obtenida a través del portal inmobiliario ""Enlace inmobiliario"". Estos datos son los siguientes: nombre cliente, apellido cliente, RUT, correo electrónico y teléfono.

Corresponde a la información recopilada de cotizantes que han expresado interés en algún proyecto a través de la plataforma Meta. Estos datos generalmente incluyen información personal y de contacto proporcionada por los usuarios que han completado un formulario o dejado sus datos en el sitio web, aplicación móvil u otros canales de captura de leads de Meta. Estos datos corresponden a nombre y apellido, RUT, correo electrónico, teléfono, preferencia de compra (habitar o inversión)."""
"""Campaña de marketing""","""Comercial""","""Corresponden a estrategias planificadas y coordinadas que se llevan a cabo para promocionar un proyecto o una marca específica. Estas campañas pueden incluir una combinación de diferentes tácticas de marketing para alcanzar los objetivos establecidos, como publicidad en medios digitales, redes sociales, relaciones públicas, eventos, entre otros."""
"""Piezas de marketing digital""","""Comercial""","""Son elementos creativos y visuales utilizados en el ámbito del marketing digital para promover productos, servicios o marcas. Estas piezas pueden incluir imágenes, banners, videos, infografías, GIF, audios u otros formatos digitales diseñados para atraer y captar la atención del público objetivo."""
"""Mensajes de Mailing masivo""","""Comercial""","""Se refiere al envío de mensajes de correo electrónico a cotizantes/clientes de forma simultánea. Estos mensajes suelen utilizarse para difundir información, promociones, noticias o actualizaciones relevantes sobre algún proyecto a una base de datos de contactos."""
"""Mensajes de SMS masivo""","""Comercial""","""Consiste en el envío de mensajes de texto cortos a clientes/cotizantes al mismo tiempo. Los mensajes de SMS masivos son una forma rápida y directa de comunicación que se utiliza para enviar promociones, recordatorios, alertas u otra información relevante a los usuarios."""
"""Mensajes de Whatsapp masivo""","""Comercial""","""Implica el envío de mensajes a través de la plataforma de mensajería instantánea WhatsApp a clientes/cotizantes simultáneamente. Esta táctica se utiliza para enviar comunicaciones promocionales, actualizaciones de productos, atención al cliente u otro tipo de mensajes relevantes."""
"""Indicadores de campañas de marketing""","""Comercial""","""Son métricas o medidas utilizadas para evaluar el desempeño y los resultados de las campañas de marketing."""
"""Órdenes de compra de marketing""","""Comercial""","""Son solicitudes para la adquisición de bienes o servicios relacionados con actividades de marketing. Estas órdenes de compra se generan para adquirir recursos como impresiones publicitarias, servicios de agencias de marketing, software especializado, materiales promocionales, entre otros."""
"""Datos de análisis de redes sociales""","""Comercial""","""Son los datos recopilados y analizados a partir de las actividades y el comportamiento de los usuarios en diferentes plataformas de redes sociales. Estos datos pueden incluir métricas como el número de seguidores, alcance, interacciones, menciones, menciones de marca, comentarios, compartidos y otros datos relevantes para evaluar el rendimiento y la efectividad de las estrategias de marketing en redes sociales."""
"""Datos de análisis de campañas de Google Ads""","""Comercial""","""Son los datos obtenidos y analizados a partir de las campañas de publicidad que se ejecutan a través de la plataforma de Google Ads. Estos datos pueden incluir métricas como clics, impresiones, CTR (Click-Through Rate), conversiones, costos por clic (CPC), tasas de conversión y otros indicadores que ayudan a evaluar el rendimiento y el éxito de las campañas de publicidad en Google."""
"""Datos de análisis de SEO""","""Comercial""","""Son los datos utilizados para evaluar y medir el rendimiento de las estrategias de optimización para motores de búsqueda (SEO). Estos datos pueden incluir métricas como el ranking en los resultados de búsqueda, el tráfico orgánico, las palabras clave más efectivas, los enlaces entrantes, la tasa de rebote, la duración de la visita y otros indicadores relevantes para mejorar la visibilidad y el posicionamiento en los motores de búsqueda."""
"""Search Engine Optimization (SEO)""","""Comercial""","""El SEO, conocido como posicionamiento en buscadores u optimización en motores de búsqueda, se refiere a un conjunto de estrategias destinadas a mejorar la posición de un sitio web en la lista de resultados de motores de búsqueda."""
"""Linkbuilding (construcción de enlaces)""","""Comercial""","""El link building es una estrategia SEO que consiste en construir una red de enlaces internos y backlinks (retroenlaces) con la que se aumente el rendimiento de una página web mediante referencias de calidad y notoriedad en otras páginas. El objetivo de esta técnica es crear una serie de enlaces externos para generar autoridad web y mejorar el posicionamiento orgánico en buscadores."""
"""Backlink (retroenlace)""","""Comercial""","""Corresponde a un enlace hecho de un sitio web a otro. Es un enlace colocado estratégicamente en el texto para guiar al lector a la página de tu blog o sitio web donde lo esperan contenidos relevantes. Su objetivo es ampliar la cantidad de navegantes que te conocen y, al mismo tiempo, generar tráfico de calidad hacia tu blog o sitio web. """
"""Costo por adquisición (CPA)""","""Comercial""","""Corresponde a costo total que se invierte en publicidad online para lograr que un usuario realice una compra. El anunciante solo paga cuando la acción deseada por el anunciante se lleva a cabo por los visitantes. Por tanto, es de bajo riesgo para quienes anuncian, porque el pago se realiza sólo por las transacciones de los que realizaron lo que deseabas."""
"""Intención de búsqueda (keywords - kws)""","""Comercial""","""La intención de búsqueda se refiere a lo que el usuario espera encontrar al realizar una búsqueda en los motores de búsqueda, según la consulta enviada. A medida que la consulta del usuario se vuelve más específica, se esperaría obtener resultados más relevantes. Sin embargo, incluso una sola palabra puede influir en las expectativas del usuario y cambiar lo que espera ver."""
"""Nivel de recomendación o Net Promoter Score (NPS)""","""Comercial""","""El NPS es una métrica utilizada para medir la lealtad y satisfacción de los clientes con una empresa, producto o servicio en particular. Se basa en una pregunta simple: ""En una escala del 0 al 10, ¿qué tan probable es que recomiendes nuestra empresa/producto/servicio a un amigo o colega?""."""
"""Encuesta Radiografía del Comprador""","""Comercial""","""Encuesta elaborada por el área de Research, cuyo objetivo es recopilar información sobre el perfil de los compradores de proyectos Socovesa (clientes). Algunos de los datos que recopila corresponden a características demográficas, preferencias, comportamientos de compra y necesidades de los compradores."""
"""Encuesta Perfil de cotizantes y preferencia de clientes""","""Comercial""","""Encuesta elaborada por el área de Research, cuyo objetivo es recopilar información sobre los cotizantes (propios y del mercado) y las preferencias de los clientes en relación a los proyectos de Socovesa. Algunos de los datos que recopila corresponden a datos demográficos, características de los proyectos inmobiliarios que más les interesan, ubicación preferida, tipo de vivienda, amenidades, etc.; preferencias generales de los potenciales compradores en el mercado inmobiliario; y preferencias y necesidades específicas de clientes Socovesa."""
"""Estudio etnográfico (entrevista insight)""","""Comercial""","""Entrevista elaborada por el área de Research, cuyo objetivo es obtener información detallada sobre los cotizantes y compradores mediante entrevistas en profundidad. Los datos recopilados corresponden a caracterización de la composición familiar, estilo de vida, situación actual, motivación de búsqueda, exploración del departamento ideal, evaluación del proyecto inmobiliario, evaluación de elementos específicos (detalles, terminaciones o espacios) del proyecto inmobiliario por parte de los cotizantes y compradores; y recomendaciones para el departamento ideal."""
"""Estudio etnográfico (entrevista insitu)""","""Comercial""","""Entrevista elaborada por el área de Research, cuyo objetivo es obtener información sobre los residentes actuales de los proyectos inmobiliarios de Socovesa mediante entrevistas en su lugar de residencia. Los datos recopilados corresponden a caracterización de la composición familiar, estilo de vida, características de la vivienda anterior, propuesta de valor, motivaciones de compra, rutinas cotidianas y cambios de rutina post pandemia."""
"""Estudio de no compra""","""Comercial""","""Encuesta elaborada por el área de Research, cuyo objetivo es recopilar información sobre los motivos por los cuales los cotizantes no realizaron la compra de una vivienda. Los datos recopilados incluyen motivos de no compra de los cotizantes, evaluación de la sala de venta, evaluación de la atención del ejecutivo, evaluación del piloto físico, evaluación del piloto virtual, evaluación del sitio web y evaluación del proyecto en comparación con la competencia."""
"""Estudio de valor corporativo""","""Comercial""","""Encuesta elaborada por el área de Research, cuyo objetivo es evaluar la experiencia de los cotizantes en la sala de venta y la atención recibida. Los datos recopilados incluyen la evaluación de los siguientes factores: 
piloto (incluye piloto virtual), experiencia de los clientes respecto a la sala de venta, ejecutivos de venta, atención recibida, calidad de la videollamada y calidad del sitio web."""
"""Encuesta calidad de servicio de la espera""","""Comercial""","""Encuesta elaborada por el área de Research, cuyo objetivo es evaluar la experiencia de los clientes durante el periodo de espera previo a la entrega de la vivienda. Los datos recopilados incluyen experiencia de calidad de servicio durante la espera de los clientes (4 meses después de la firma), atención del ejecutivo durante la espera y nivel de recomendación (NPS) durante la espera."""
"""Encuesta calidad de servicio de la entrega""","""Comercial""","""Encuesta elaborada por el área de Research, cuyo objetivo es evaluar la experiencia de los clientes durante la entrega de la vivienda. Los datos recopilados incluyen experiencia de calidad de servicio durante la entrega de la vivienda (1 mes después de la entrega), estado de la vivienda entregada y nivel de recomendación (NPF) durante la entrega."""
"""Encuesta de calidad de servicio de la posventa""","""Comercial""","""Encuesta elaborada por el área de Research, cuyo objetivo es evaluar la experiencia de los clientes en el periodo posterior a la entrega de la vivienda. Los datos recopilados incluyen experiencia de calidad de servicio durante la posventa de la vivienda (2 meses después de solicitar el servicio de posventa), atención posventa recibida (o no recibida) y nivel de recomendación (NPF) durante la posventa."""
"""Encuesta desempeño de producto""","""Comercial""","""Encuesta elaborada por el área de Research, cuyo objetivo es evaluar el nivel de satisfacción de los clientes con el producto (vivienda) y obtener información sobre su uso. Los datos recopilados incluyen satisfacción del cliente con la vivienda, modificaciones realizadas a la vivienda por parte del cliente y lugares más utilizados dentro de la vivienda."""
"""Estudio de cliente incógnito""","""Comercial""","""Estudio realizado por el área de Research, cuyo objetivo es saber si en las salas de ventas se ofrece un servicio de calidad. El proceso consiste en que el cliente incógnito (agencia) finge ser un cotizante común que visita la sala de ventas para evaluar a los ejecutivos de venta en la sala de venta y las condiciones físicas de dicha sala."""
"""Estudio e imagen de marca""","""Comercial""","""Encuesta realizada por el área de Research, cuyo objetivo es evaluar la imagen de marca de la empresa y obtener información sobre las preferencias de los clientes en relación a la marca. Algunos de los datos recopilados por esta encuesta son: atributos asociados a la marca, imagen de marca percibida por los clientes, marcas de la competencia, participación de mercado cualitativa y evaluación de la marca en diferentes aspectos."""
"""Estudio de valor de proyectos""","""Comercial""","""Encuesta elaborada por el área de Research, cuyo objetivo evaluar internamente el valor de los proyectos inmobiliarios y obtener la opinión de los cotizantes sobre el valor de dichos proyectos, para determinada marca. Los datos recopilados incluyen evaluación interna del valor de los proyectos inmobiliarios y opiniones de los cotizantes propios sobre el valor de los proyectos."""
"""Encuesta de evaluación de campañas de marcas""","""Comercial""","""Encuesta realizada por el área de Research, cuyo objetivo es evaluar la efectividad y percepción de las campañas de marca realizadas por la empresa. La información obtenida corresponde a la evaluación de la campaña en términos de impacto y relevancia, imagen proyectada por la campaña, nivel de alcance de la campaña y la retención en la mente del público objetivo."""
"""Perfil de cliente""","""Comercial""","""Datos obtenidos a través de encuestas a clientes. Corresponde a las características demográficas, preferencias, comportamientos y necesidades de los clientes de la empresa, con el objeto de saber quiénes son y qué los motiva a adquirir proyectos Socovesa."""
"""Preferencias de los cotizantes (propios y del mercado)""","""Comercial""","""Datos obtenidos a través de encuestas a cotizantes propios y del mercado. Corresponde a las características de los proyectos inmobiliarios que son de interés, ubicación preferida, tipo de vivienda, amenidades y otras preferencias generales respecto de un proyecto habitacional."""
"""Información etnográfica de cotizantes y compradores (inside)""","""Comercial""","""Datos obtenidos a través de entrevistas a cotizantes y compradores en los cuales se investiga y se recopila información acerca de la composición familiar, estilo de vida, motivaciones, evaluaciones y recomendaciones relacionadas con la compra de una vivienda."""
"""Información etnográfica de residentes (insitu)""","""Comercial""","""Datos obtenidos a través de entrevistas a residentes de los proyectos, en los cuales se investiga y se recopila información sobre la composición familiar, estilo de vida, rutinas cotidianas, evaluaciones y cambios de rutina relacionados con la vida en la vivienda o proyecto."""
"""Evaluación del cliente - venta de valor corporativo""","""Comercial""","""Evaluación de la experiencia y satisfacción del cliente durante el proceso de venta, enfocado en el valor corporativo proporcionado por la empresa. Se analizan aspectos como la experiencia en la sala de venta, la atención recibida, la calidad de la comunicación y la capacidad de la empresa para transmitir y cumplir las propuestas de valor."""
"""Motivos de no compra""","""Comercial""","""Razones por las cuales los cotizantes o potenciales clientes deciden no realizar la compra de una vivienda o proyecto inmobiliario. Estos motivos pueden incluir factores como precio, ubicación, características del proyecto, insatisfacción con la oferta o preferencia por otras alternativas en el mercado."""
"""Experiencia clientes calidad de servicio en la espera de la vivienda""","""Comercial""","""Evaluación de la experiencia de los clientes durante el periodo de espera previo a la entrega de la vivienda. Se analizan aspectos como la atención del ejecutivo, la comunicación y la calidad del servicio durante esta etapa."""
"""Experiencia clientes calidad de servicio en la entrega de la vivienda""","""Comercial""","""Evaluación de la experiencia de los clientes durante el proceso de entrega de la vivienda. Se analizan aspectos como la calidad de la vivienda entregada, la atención recibida y la satisfacción general con el servicio durante esta etapa."""
"""Experiencia clientes calidad de servicio en la posventa de la vivienda""","""Comercial""","""Evaluación de la experiencia de los clientes en el periodo posterior a la entrega de la vivienda. Se analizan aspectos como la atención posventa, el soporte técnico, la resolución de problemas y la satisfacción general con el servicio durante esta etapa."""
"""Satisfacción del cliente desempeño del producto (vivienda)""","""Comercial""","""Evaluación del grado de satisfacción de los clientes con el desempeño y calidad de la vivienda adquirida. Se analizan aspectos como el diseño, los acabados, el funcionamiento de las instalaciones y el cumplimiento de las expectativas del cliente."""
"""Calidad experiencia en la cotización/compra sala de ventas (cliente incógnito)""","""Comercial""","""Evaluación de la calidad de la experiencia de cotización y compra de una vivienda a través de la visita a la sala de ventas por parte de un cliente incógnito o ""mystery shopper"". Se analizan aspectos como la atención del ejecutivo, la presentación de la oferta, la información proporcionada y la calidad del proceso de cotización y compra."""
"""Evaluación del cliente - venta de valor proyecto""","""Comercial""","""Evaluación de la percepción y valoración de los clientes en relación al valor ofrecido por un proyecto inmobiliario específico. Se analizan aspectos como la propuesta de valor, las características y amenidades del proyecto, la relación calidad-precio y la satisfacción general con el proyecto."""
"""Evaluación en público objetivo de la campaña, imagen proyectada, nivel de alcance y retención""","""Comercial""","""Evaluación de una campaña publicitaria por parte del público objetivo. Se analiza la imagen proyectada por la campaña, el nivel de alcance en el público objetivo y la capacidad de la campaña para retener la atención y generar impacto en la audiencia."""
"""Evaluación del cliente - atributos, imagen y evaluación de marca""","""Comercial""","""Proceso de evaluación de la percepción y valoración de los clientes en relación a los atributos y la imagen de marca. Se analizan aspectos como la identidad de marca, la reputación, la confianza y la conexión emocional con la marca."""
"""Proyectos con unidades por entregar""","""Comercial""","""Se refiere a proyectos habitacionales, como departamentos o casas, que aún tienen unidades disponibles para ser entregadas a los clientes. Estas unidades pueden estar escrituradas (legalmente transferidas) o no, y unidades que no se han vendido (disponible)"""
"""Unidades entregadas""","""Comercial""","""Se considera que una unidad ha sido entregada cuando se ha programado y realizado la primera visita con el cliente, y este ha aceptado las llaves del departamento o casa. Una vez entregada, firma el acta de entrega, la unidad pasa a la etapa de posventa."""
"""Revisiones de calidad/ obra de la unidad""","""Comercial""","""Es la iteración y revisión del departamento entre la constructora (responsable de la obra) y la inmobiliaria (responsable de revisar la unidad para que esté en condiciones de entrega a propietario)."""
"""Fallas en la revisión calidad/obra de la unidad""","""Comercial""","""Son observaciones o problemas relacionados con la calidad del departamento, como problemas en las instalaciones, terminaciones, o aspectos como guardapolvo, cubierta, cerámica en los muros, etc. Estas fallas se registran en un checklist de revisión."""
"""Tipos de falla - Árbol de fallas""","""Comercial""","""Un diagrama o representación gráfica que muestra de manera jerárquica los posibles fallos o problemas que pueden surgir en una propiedad y sus componentes, lo que facilita la identificación y solución de problemas en el proceso de posventa."""
"""Nota revisión de calidad a la constructora""","""Comercial""","""Nota de 1.0 a 10 que registra el resultado de la revisión de calidad realizada en el departamento y que depende del tipo de observaciones (criticidad, leve, grave, muy grave)"""
"""Acta de entrega al cliente""","""Comercial""","""Documento que se genera cuando las condiciones del departamento han sido revisadas y no se encontraron observaciones. Si no hay observaciones, el cliente firma el acta."""
"""Acta de lectura de medidores""","""Comercial""","""Documento que registra la lectura de medidores (como agua, electricidad, gas) en el momento de la entrega."""
"""Fecha estimada de entrega al cliente""","""Comercial""","""Fecha prevista para la entrega de la unidad inmobiliaria al cliente."""
"""Llamado de coordinación""","""Comercial""","""Comunicación para coordinar acciones o resolver aspectos específicos relacionados con la entrega."""
"""Visto bueno de entrega al cliente""","""Comercial""","""Aprobación contable que se concede cuando la situación financiera del cliente está al corriente y cumple con los requisitos para la entrega exitosa de la unidad inmobiliaria."""
"""Observaciones durante la entrega al cliente""","""Comercial""","""Comentarios y evaluaciones sobre la calidad del departamento realizadas por los clientes después de recibir la unidad, proporcionando una retroalimentación valiosa para mejorar los estándares de entrega."""
"""Estatus de entrega de la propiedad""","""Comercial""","""Indica el estado actual de la entrega de la unidad, siendo ""Entregado"" cuando no hay observaciones, ""Recibe Conforme"" cuando el cliente está satisfecho, o ""No Recibe Conforme"" cuando el cliente rechaza la entrega debido a observaciones pendientes."""
"""Planilla de entregas""","""Comercial""","""Reporte del Sistema de Revisión de Departamentos (SRD) que recopila información detallada de todas las entregas programadas, registrando su estado (rechazada o aprobada), la fecha de revisión, la aprobación y el revisor, así como el número de observaciones identificadas."""
"""Información del cliente Posventa""","""Comercial""","""Información detallada sobre el cliente que ha adquirido una propiedad, incluyendo su nombre, datos de contacto, detalles específicos de la propiedad adquirida y cualquier otra información relevante para la gestión posventa."""
"""Solicitudes de posventa""","""Comercial""","""Peticiones o requerimientos realizados por el cliente después de la adquisición de una propiedad. Estas solicitudes pueden abarcar desde reparaciones y mantenimiento hasta otros servicios relacionados con la propiedad."""
"""Feedback del Cliente - Posventa""","""Comercial""","""Manifestaciones de insatisfacción, descontento o sugerencias presentadas por el cliente en relación con algún aspecto de la propiedad o del servicio posventa. Estos comentarios pueden abordar problemas específicos o expresar preocupaciones generales."""
"""Ordenes de trabajo para reparaciones y mantenimientos - Posventa""","""Comercial""","""Registros detallados que describen las tareas específicas a realizar en una propiedad como parte de trabajos de reparación o mantenimiento. Incluyen información sobre la naturaleza de las labores, los costos asociados y las fechas programadas para la ejecución."""
"""Garantías de posventa""","""Comercial""","""Compromisos contractuales que aseguran que ciertos aspectos de la propiedad o los servicios posventa cumplirán con estándares predefinidos. En caso de defectos dentro de un período determinado, la garantía garantiza la reparación o el reemplazo correspondiente."""
"""Comunicaciones con el cliente - Posventa""","""Comercial""","""Registros detallados de todas las interacciones y conversaciones mantenidas con el cliente después de la compra de la propiedad. Esto incluye llamadas telefónicas, correos electrónicos, reuniones y correspondencia."""
"""Comunidad de copropietarios""","""Comercial""","""Se refiere a un conjunto de propiedades inmobiliarias, en los cuales los residentes son propietarios individuales de unidades específicas. Esta comunidad comparte áreas y servicios comunes, como pasillos, áreas verdes, y servicios generales del edificio. La gestión y operación de la comunidad se realizan mediante la colaboración de los copropietarios y una administración designada."""
"""Administración de la comunidad""","""Comercial""","""Se refiere al conjunto de actividades y responsabilidades llevadas a cabo por una entidad o profesional designado para gestionar eficientemente una comunidad de copropietarios. """
"""Cambio de administración""","""Comercial""","""Proceso que implica la transición de una administración a otra, ya sea por elección de la comunidad o por término del contrato con la administración actual. Incluye la transferencia de documentos, registros y responsabilidades."""
"""Asamblea de Copropietarios""","""Comercial""","""Reunión periódica de los propietarios de la comunidad, donde se discuten temas importantes, se toman decisiones relevantes y se abordan asuntos clave relacionados con la gestión y el desarrollo de la comunidad"""
"""Proceso de licitación de administraciones""","""Comercial""","""El procedimiento para seleccionar la primera administración de un proyecto. Este proceso implica la evaluación de propuestas y la elección de una entidad administrativa que cumpla con los requisitos y expectativas establecidos."""
"""Elección de la primera administración""","""Comercial""","""El proceso de selección y designación de la primera administración para una comunidad. Esto implica evaluar propuestas, seleccionar al administrador adecuado y llevar a cabo los trámites necesarios para formalizar la relación con la administración elegida."""
"""Apertura de cuenta corriente y obtención de rol de la comunidad""","""Comercial""","""Procedimiento para permitir que la comunidad opere con fondos, ya sea a través de cheques o transferencias. Incluye la apertura de cuentas corrientes, solicitud de documentación necesaria y la asignación de roles y responsabilidades de la comunidad ante el Servicio de Impuestos Internos (SII)."""
"""Posventa""","""Comercial""","""La supervisión continua de las actividades y pendientes de la comunidad durante un período de hasta 5 años después de la compra de la propiedad."""
"""Administración de gastos comunes""","""Comercial""","""La gestión y control de los gastos comunes de la comunidad hasta que se enajene un porcentaje mayoritario de las propiedades (aprox. 70%). Incluye la distribución equitativa de los costos entre los propietarios y la supervisión de los fondos para mantener las instalaciones y servicios comunes."""
"""Entrega de la comunidad a los propietarios""","""Comercial""","""El proceso formal de transferir la responsabilidad y control de la comunidad a sus propietarios. Esto puede ocurrir después de ciertos hitos, como la venta de un porcentaje mayoritario de las propiedades (aprox. 70%) o al finalizar el período de administración."""
"""Fondos de reserva comunidad""","""Comercial""","""Fondos necesarios para la operación y mantenimiento de la comunidad, que varían según el número de unidades en el edificio. Estos fondos pueden ser utilizados para gastos comunes, compra de suministros y mobiliario, y son gestionados por la administración en colaboración con la inmobiliaria. La devolución de estos fondos a la inmobiliaria es responsabilidad de la administración."""
"""Pedido de materiales - Posventa""","""Comercial""","""Solicitud formal realizada por los jefes de terreno para obtener los insumos necesarios destinados a actividades de posventa en unidades inmobiliarias. """
"""Stock de material - Posventa""","""Comercial""","""Se refiere a la cantidad total de insumos y materiales disponibles en el almacén de la empresa o entidad responsable de la posventa de unidades inmobiliarias. Este inventario incluye materiales destinados a cubrir pedidos de posventa, asegurando que exista una cantidad suficiente para satisfacer las demandas de las actividades programadas."""
